Page #,Song Name,Composer,Tonic,Mode,RangeStart,RangeEnd
147t,BOYLSTON,"Lowell Mason, 1832",C,major,G2,E5
148,JEFFERSON,"Tennessee Harmony, 1818.",A,minor,A2,E5
149,THE TRUMPET,"J. Williams, 1831.",D,major,A2,G5
150,AMITY,"Daniel Read, 1785.",A,major,A2,E5
151,SYMPHONY,"Justin Morgan, 1790",E-,major,G2,G5
152,SHEPHERDS REJOICE,"L. P. Breedlove, 1850.",F,major,C3,A5
153,RESURRECTED,"Arr. - S. M. Denson, 1908.",F,major,C3,F5
154,REST FOR THE WEARY,"Arr. - B. F. White, 1869",E-,major,B-2,G5
155,NORTHFIELD,"Jeremiah Ingalls, 1800.",B-,major,B-2,F5
156,JESUS ROSE,"H. S. Reese, 1869.",D,major,A2,F#5
157,ESSAY,"A. C. Clark, 1857.",D,major,D3,G5
158,FUNERAL THOUGHT,"William Caldwell, 1837.",F,major,C3,A5
159,WONDROUS LOVE,"James Christopher, 1840",F,minor,C3,F5
160b,"TURN, SINNER, TURN","Arr. - E. J. King, 1844.",D,minor,D3,F5
160t,WAR DEPARTMENT,"Southern Harmony, 1835.",E,minor,B2,E5
161,SWEET HOME,"Arr. - William Walker, 1840.",E-,major,A-2,E-5
162,PLENARY,"Arr. - A. C. Clark, 1839.",G,major,G2,G5
163b,CHINA,"Timothy Swan, 1801.",D,major,A2,F#5
163t,MORNING,"Amos Pillsbury, 1799",E,minor,B2,E5
164,DUANE STREET,"George Coles, 1835.",A,major,A2,F#5
165,FAMILY BIBLE,,A,minor,A2,A5
166,STILL BETTER,"Israel Bradfield and J. L. Meggs, 1869.",C,major,C3,A5
167,"PRAY, BRETHREN, PRAY","The Minstrel of Zion, 1845.",F,major,B-2,G5
168,COWPER,"Oliver Holden, 1803.",G,minor,B-2,G5
169,DARTMOUTH,"Stephen Jenks, 1803.",G,major,G2,A5
170,EXHILARATION,"Thomas W. Carter, 1844.",F,major,B-2,F5
171,EXHORTATION,"Hibbard, 1796.",F,major,B-2,G5
172,HARMONY,"Abner Ellis, 1805.",G,major,B2,G5
173,PHOEBUS,"William Billings, 1770.",F#,minor,A2,F#5
174,PETERSBURG,"William Billings, 1786.",D,major,G2,A5
175,HIGHLANDS OF HEAVEN,"J. D. Arnold, 1869.",F,major,C3,A5
176,BLOOMING YOUTH,"Henry G. Mann, 1869.",C,major,C3,G5
176t,RAGAN,"Arr. - W. F. Moore, 1869.",F,major,C3,F5
177,THE CHRISTIAN'S FLIGHT,"W. F. Moore, 1866.",F,major,C3,F5
178,AFRICA,"William Billings, 1770",E-,major,A-2,G5
179,THE CHRISTIAN WARFARE,"Southern Harmony,1835.",C,major,C3,G5
180,VERMONT,"William Billings, 1778.",E,minor,A2,G5
181,EXIT,"P. Sherman, 1808.",E,minor,B2,G5
182,NEWBURGH,"Amos Munson, 1798.",C,major,C3,G5
182,GREENWICH,"Daniel Read, 1785.",E,minor,A2,F#5
184,ENFIELD,"Solomon Chandler, 1785.",E,major,A2,G#5
185,PILGRIM'S FAREWELL,"Harmony of Harmony, 1802.",G,major,B2,G5
186,SHERBURNE,"Daniel Read, 1783.",D,major,A2,F#5
187,PROTECTION (First),"P. Sherman, 1808.",F,major,B-2,G5
188,SPRING,,G,major,C3,G5
189,MONTGOMERY,"Justin Morgan, 1790.",C,major,G2,G5
191,VIRGINIA,"Oliver Brownson, 1782.",E,minor,B2,E5
192,SCHENECTADY,"Nehemiah Shumway, 1805.",E-,major,B-2,F5
193,HUNTINGTON,"Justin Morgan, 1790.",A,major,A2,G#5
195,WORCESTER,"Abraham Wood, 1778.",F,major,G2,G5
196,ALABAMA,"Southern Harmony, 1835",E,minor,B2,G5
197,GEORGIA,"T. B. McGraw, 1935.",E,minor,B2,E5
198,GREEN STREET,,B-,major,B-2,G5
200,EDOM,"Elisha West, 1797.",F,major,A2,F5
201,PILGRIM,"Missouri Harmony, 1820.",F#,minor,B2,F#5
202,NEW LEBANON,"P. Sherman, 1808.",E-,major,B-2,A-5
203,FLORIDA,"Truman S. Wetmore, 1803.",E,minor,B2,G5
204,MISSION,"Arr. - Andrew Grambling, 1835.",G,major,B2,G5
205,PLEASANT HILL,"Nicholson, 1820.",E,major,B2,G#5
206,CHRISTIAN'S HOPE,"H. A. Parris, 1907.",G,major,B2,G5
207,LOUISIANA,"William Walker, 1835.",B-,major,B-2,F5
208,TRAVELING ON,"S. M. Denson and J. S. James, 1911.",F,major,B-2,F5
209,EVENING SHADE,"Stephen Jenks, 1805.",E,minor,B2,E5
210,LENA,"Daniel Belknap, 1795.",F#,minor,C#3,F#5
211,WHITESTOWN,"Howd, 1800.",E,minor,B2,F#5
212,SHARON,"Elisha West, 1793.",D,major,A2,A5
213b,WARNING,"E. Heritage, 1869.",G,major,G2,E5
213t,THE GOOD OLD WAY,"William Walker, 1835.",F,major,C3,A5
214,REPENTANCE,"Rollo, 1796.",F#,minor,B2,F#5
215,NEW TOPIA,"Reubin Monday, 1816.",E,minor,B2,G5
216,DELIGHT,"Simeon Coan, 1798.",E,minor,A2,G5
217,BALLSTOWN,"Nehemiah Shumway, 1809",F,major,A2,G5
218,MOUNT PLEASANT,"Deolph, 1793.",F,major,C3,G5
220,MOUNT ZION,"Bartholomew Brown, 1792.",C,major,C3,G5
222,OCEAN,"Rudiments of Music, ca. 1787",F,major,C3,F5
223,PORTUGUESE HYMN,,A,major,A2,E5
224,"SAVE, LORD, OR WE PERISH","M. Mark Wynn, 1869",E,minor,B2,G5
225,CHRISTMAS ANTHEM,"James Denson, 1844.",G,major,G2,G5
225t,REYNOLDS,"Hugh McGraw, 1885.",A,major,A2,E5
227,ODE ON LIFE'S JOURNEY,"E. J. King, 1844.",A,major,A2,A5
228,MARLBOROUGH,"Abraham Wood, 1793.",C,major,G2,G5
229,IRWINTON,"Arr. - T. W. Carter, 1844.",F,major,C3,A5
230,CONVERTING GRACE,"R.E. Brown, 1859.",G,major,G2,G5
231,THOU ART PASSING AWAY,Arr. - George Coles.,G,major,G2,E5
232,BAPTISMAL ANTHEM,"B. F. White, 1844.",A-,major,A-2,F5
234,REVERENTIAL ANTHEM,"E. J. King, 1844",C,major,C3,A5
235,LONG SOUGHT HOME,"William Bobo, 1847",C,major,C3,G5
236,EASTER ANTHEM,"William Billings, 1787",A,major,A2,F#5
240,CHRISTIAN SONG,"Jeremiah Ingalls, 1805.",D,minor,A2,A5
242,ODE ON SCIENCE,"Temple and Merrill, 1779.",G,major,C3,B5
245,CLAREMONT,"Temple & Merrill, 1799.",A,minor,A2,A5
250,HEAVENLY VISION,"Jacob French, 1786.",G,major,G2,G5
254,ROSE OF SHARON,"William Billings, 1778.",A,major,A2,F#5
260,FAREWELL ANTHEM,"Jacob French, 1789.",A,minor,A2,G5
263,DODDRIDGE,"M. M. Wynn, 1869.",A,major,A2,F#5
266,KINGWOOD,"Humphreys, 1820.",A,major,A2,E5
267,PARTING FRIENDS (First),"Arr. - John G. McCurry, 1842.",F#,minor,A2,F#5
268,DAVID'S LAMENTATION,"William Billings, 1778",A,minor,G2,F5
269 - Denson,BEAR CREEK,"William Billings, 1778",E,major,B2,G#5
270,CONFIDENCE,"J. R. Turner, 1850",A,major,A2,F#5
271b,RESTORATION,"D. P. White, 1850.",F,major,C3,A5
271t,ARKANSAS,"D. P. White, 1850.",A,minor,A2,G5
272,EXHORTATION,"Eliakim Doolittle, 1800.",A,minor,A2,G5
273,MILFORD,"Joseph Stephenson, 1760.",A,major,A2,F#5
274b,ROLL JORDAN,"A. W. and John G. McCurry, 1855.",G,major,G2,G5
274t,THE GOLDEN HARP,"J. P. Reese, 1869.",F#,minor,F#2,A5
275b,ROLL ON,"Cynthia Bass, 1850.",F,major,C3,A5
275t,LOVING-KINDNESS,"J. P. & S. R. Penick, 1850.",A,minor,A2,A5
276,BRIDGEWATER,"Lewis Edson, 1782",C,major,A2,F5
277,ANTIOCH,"F. C. Wood, 1860",G,minor,C3,G5
278,LOVE SHALL NEVER DIE,"Toney Smith, 1987.",F,minor,C3,F5
278b,TRAVELING PILGRIM,"H. S. Reese, 1850.",E,minor,A2,E5
279,THE SHEPHERD'S FLOCK,"Elmer Kitchens, 1935.",F,major,C3,F5
280,WESTFORD,"Daniel Read, 1785.",B-,major,B-2,G5
282,I'M GOING HOME,"Leonard P. Breedlove, 1850",F,major,A2,A5
283,SABBATH MORNING,"H. N. McGraw, 1935.",F,major,F2,F5
284,GARDEN HYMN,"Supplement to the Kentucky Harmony, 1826.",G,major,B2,G5
285b,LAND OF REST,"H. S. Reese, 1850.",F,major,C3,A5
285t,ARNOLD,"L. P. Breedlove, 1850",B-,major,B-2,G5
286,HEAVENLY HOME,"W. A. Yates, 1935.",F,minor,C3,F5
287,CAMBRIDGE,"John Randall, 1790.",C,major,C3,G5
288,WHITE,"Edmund Dumas, 1856",E,major,B2,G#5
289,GREENSBOROUGH,"John Mercer, 1850.",F,major,C3,F5
290,VICTORIA,"Leonard P. Breedlove, 1850.",B-,major,B-2,B-5
291,MAJESTY,"William Billings, 291.",F,major,C3,G5
292,BEHOLD THE SAVIOR,"Paine Denson, 1935.",F,major,C3,F5
293,AKERS,"T. J. Denson, 1935.",F,major,C3,F5
294,ROCKY ROAD,"Arr. - J. C. Brown and Paine Denson, 1935.",E-,major,G2,F5
295,ODEM,"Leon McGraw, 1935.",G,major,D3,G5
296,SARDINIA,"Castle, 1794.",E,minor,B2,G5
297,CONVERSION,"Supply Belcher, 1794.",C,major,C3,G5
298,PROVIDENCE,Composer :,A,major,A2,F#5
299,NEW JERUSALEM,"Jeremiah Ingalls, 1796.",F,major,B-2,F5
300,CALVARY,"Daniel Read, 1785",A,minor,A2,F5
301,GREENLAND,"W. F. Moore, 1867.",F,major,B-2,A5
302,LOGAN,"T. J. Denson, 1908.",E,minor,B2,G5
303,HEAVENLY LAND,"Jeff Sheppard, 1987.",F,major,A2,F5
304,MORGAN,"The Easy Instructor, Part II, 1802.",E,major,B2,G#5
306,OXFORD,"Juvenile Harmony.
Arr. - John Messengale, 1850.",A,major,A2,A5
308,PARTING FRIENDS,"E. L. King, 1850.",E,minor,B2,E5
309,LIVING LAMB,"Arr. - C. Davis, 1850.",D,major,G2,G5
310,WEEPING SAVIOR (Second),"Arr. - Edmund Dumas, 1869.",F,major,B-2,F5
311,SILVER STREET,"Isaac Smith, 1780.",C,major,G2,A5
312,SOFT MUSIC,"Arr. - B. F. White, 1850.",F,major,A2,F5
312b,RESTORATION,"Southern Harmony, 1835.",A,minor,A2,G5
312t,SING TO ME OF HEAVEN,"Arr. - John Massengale, 1850.",E,minor,G2,E5
313b,COBB,Composer :,A,minor,A2,F5
313t,CONCORD,"Oliver Holden, 1793.",C,major,C3,G5
314,CLEBURNE,"S. M. Denson, 1908.",G,major,D3,G5
315,IMMENSITY,"Eliakim Doolittle, 1806.",A,minor,A2,G5
316,NEW HOPE,"A. M. Cagle, 1908.",E-,major,B-2,E-5
317,JACKSON,"M. F. McWhorter, 1908.",G,major,D3,G5
318,PRESENT JOYS,"A. M. Cagle, 1908",F,major,C3,F5
319,RELIGION IS A FORTUNE,"William L. Williams, 1850.",G,major,G2,G5
320,FUNERAL ANTHEM,"William Billings, 1778.",F#,minor,B2,F#5
321,NEWNAN,"J. P. Reese, 1859.",F,major,F2,F5
322,MAN'S REDEMPTION,"S. M. Brown, 1869.",G,major,D3,G5
323t,MULLINS,"Edmund Dumas, 1869.",F,major,C3,F5
324,NORTH PORT,"Arr. - Lucius Chapin, 1812.",A,minor,A2,A5
325,SOLDIER OF THE CROSS,"G. B. Daniel, 1909.",F,major,C3,F5
326,WEARY PILGRIM,"Leonard P. Breedlove, 1850.",E,minor,A2,F#5
327,INVITATION,"Jacob Kimball, 1784.",D,major,A2,G5
328,PRAISE GOD,"S. M. Denson, 1911.",G,minor,D3,G5
329,VAIN WORLD ADIEU,"Edmund Dumas, 1856.",G,major,G2,G5
330b,FELLOWSHIP,"Paine Denson, 1935.",E,minor,E2,E5
330t,HORTON,"Paine Denson, 1935.",F,minor,F2,F5
331,JESTER,"S. M. Denson, 1908.",A,major,A2,F#5
332,SONS OF SORROW,"Arr. - William Houser, 1848.",E,minor,B2,F#5
333,FAMILY CIRCLE,"R. E. Brown & B. F. White, 1850.",A,major,A2,A5
334,O COME AWAY,"William Houser, 1848.",D,major,A2,A5
335,RETURN AGAIN,"Arr. - William L. Williams, 1850.",F,major,C3,F5
336,ETERNAL HOME,"S. M. Denson, 1911.",G,major,D3,G5
337,MERCY'S FREE,"Leonard P. Breedlove, 1858.",F,major,A2,F5
338,SAWYER'S EXIT,"Arr. - John Massengale, 1850.",A,major,A2,A5
339,WHEN I AM GONE,"Arr. - M. H. Turner, 1850.",A,major,A2,F#5
340,ODEM (Second),"T. J. Denson, 1935.",F,major,C3,F5
341,THE LONE PILGRIM,"Arr. - B. F. White, 1850.",C#,major,A-2,F5
342,THE OLD-FASHIONED BIBLE,"L. P. Breedlove, 1850.",A,major,A2,B5
343,HAPPY HOME,"J. P. Reese, 1859.",A,major,A2,A5
344,RAINBOW,"Timothy Swan, 1785.  Arr. - Phil A. Tabor, 1988.",B-,major,B-2,E-5
345,I'M ON MY JOURMEY HOME,"Sarah Lancaster, 1859.",G,minor,G2,G5
345t,JESUS IS MY FRIEND,"J. P. Reese, 1869.",F,major,C3,F5
346,THE AMERICAN STAR,"Arr. - D. P. White, 1850.",D,minor,A2,A5
347,CHRISTIAN'S FAREWELL,"Raymond C. Hamrick, 1989.",B-,major,B-2,G5
348,AINSLIE,"Judy Hauff, 1988.",A,minor,A2,G5
348b,FLEETING DAYS,"Henry G. Mann, 1869.",F,major,C3,F5
349,A CROSS FOR ME,"O. A. Parris, 1935.",E,minor,B2,G5
350,NATIVITY,"Thomas Jarman, 1812.   Arr. - Phil A Tabor, 1988.",G,major,G2,E5
351,PITTSFORD,"Hezekiah Moors, 1809.",C,major,G2,F5
352,SWANTON,"Hezekiah Moors, 1809.",E,major,B2,A5
353,McGRAW,"P. Dan Britain, 1971.",F,major,B-2,F5
354b,HAPPY LAND,"Arr. - L. P. Breedlove, 1850.",F,major,C3,A5
354t,LEBANON,"J. Monroe Denton, 1980.",A,major,A2,F#5
355,ANTHEM ON THE SAVIOR,"B. F. White, 1850.",A,major,A2,G5
358,MURILLO'S LESSON,Morelli,E-,major,B-2,E-5
359,THE BRIDE'S FAREWELL,"H. S. Reese, 1869.",D,major,A2,A5
360,THE ROYAL BAND,"W. T. Power, 1850.",E,minor,B2,G5
361,LOVING JESUS (DAYSPRING),"Pietro Guglielmi, 1772.  Arr. - White & Searcy, 1850.",G,major,G2,G5
362,NORWICH,"D. P. White, 1850.",B-,major,B-2,G5
365,SOUTHWELL,"Elihu Carpenter, 1786.",E,major,B2,G#5
367,CONSOLATION,"Annie Denson Aaron, 1935.",E,minor,B2,G5
368,STONY POINT,"Judy Hauff, 1990.",F,major,G2,F5
369,SEND A BLESSING,"B. F. White and L. L. Ledbetter, 1859.",A,major,A2,A5
370,MONROE,"W. S. Turner, 1850.",A,minor,A2,G5
371,HEAVENLY DOVE (TURNER),"Abraham Maxim, 1802.   Arr. - Absalom Ogletree, 1859.",F,major,A2,F5
372,ROCKPORT,"Jim Carnes, 1989",E,minor,B2,G5
373,HOMEWARD BOUND,"Howard Denson, 1935.",A-,major,E-2,F5
374,"OH, SING WITH ME!","P. R. Lancaster, 1859",G,major,D3,G5
375,LOVE THE LORD,"J. P. Reese, 1859.",F#,minor,F#2,A5
376,HELP ME TO SING,"B. F. White, 1859.",A,minor,A2,A5
377,ETERNAL PRAISE,Composer :,E,minor,B2,G5
378,NEVER TURN BACK,"Arr. - J. P. Reese & F. E. Parkerson, 1869",G,minor,G2,G5
378t,HEAVENLY PORT,"Edmund Dumas, 1859.",A,major,A2,F#5
